Date,CatchSWPN,Salvage_SWPN,Loss_SWPN,CatchSWPC,Salvage_SWPC,Loss_SWPC,CatchCVPN,Salvage_CVPN,Loss_CVPN,CatchCVPC,Salvage_CVPC,Loss_CVPC,ForkLength
10/30/2021,,,,,,,1,4,2.72,,,,189
11/19/2021,,,,,,,1,1,0.68,,,,270
12/2/2021,,,,1,4,17.32,,,,,,,422
12/16/2021,,,,,,,,,,1,4,2.72,491
12/17/2021,,,,1,1,4.33,,,,,,,460
12/27/2021,,,,,,,,,,1,4,2.72,255
12/29/2021,,,,,,,1,4,2.72,,,,235
12/30/2021,,,,,,,1,4,2.72,,,,303
1/4/2022,,,,,,,1,4,2.72,2,8,5.44,200-265
1/5/2022,,,,,,,2,8,5.44,1,4,2.72,172-290
1/7/2022,,,,,,,,,,2,8,5.44,200-248
1/8/2022,,,,,,,,,,1,4,2.72,238
1/10/2022,1,4,17.32,1,4,17.32,,,,,,,245-280
1/11/2022,1,4,17.32,,,,,,,,,,249
1/13/2022,,,,,,,1,4,2.72,1,4,2.72,195-235
1/14/2022,,,,,,,,,,1,4,2.72,207
1/15/2022,,,,,,,,,,1,4,2.72,251
1/16/2022,,,,1,4,17.32,,,,1,4,2.72,236-495
1/22/2022,,,,,,,,,,1,4,2.72,236
1/23/2022,,,,1,1,4.33,,,,2,8,5.44,210-238
1/24/2022,,,,1,4,17.32,,,,1,4,2.72,213-315
1/25/2022,,,,,,,,,,2,8,5.44,235-238
1/28/2022,,,,,,,,,,1,1,0.68,235
1/29/2022,,,,,,,,,,1,4,2.72,220
1/31/2022,,,,,,,,,,1,4,2.72,205
2/5/2022,,,,,,,1,4,2.72,,,,250
2/6/2022,,,,,,,,,,1,4,2.72,480
2/7/2022,,,,,,,1,4,2.72,,,,272
2/9/2022,,,,,,,,,,1,4,2.72,265
2/10/2022,,,,,,,,,,2,8,5.44,238-245
2/11/2022,,,,,,,,,,1,4,2.72,229
2/13/2022,,,,1,4,17.32,,,,,,,283
2/14/2022,,,,,,,,,,1,4,2.72,162
2/15/2022,,,,,,,,,,5,5,3.4,223-243
2/16/2022,,,,,,,,,,3,12,8.16,205-247
2/17/2022,,,,,,,,,,1,4,2.72,258
2/18/2022,,,,,,,,,,1,4,2.72,220
2/19/2022,,,,,,,,,,1,4,2.72,235
2/20/2022,,,,,,,,,,2,8,5.44,210-246
2/21/2022,,,,,,,,,,1,4,2.72,222
3/1/2022,,,,,,,1,4,2.72,,,,246
3/7/2022,,,,,,,,,,1,4,2.72,250
3/12/2022,,,,,,,,,,1,4,2.72,230
3/15/2022,,,,,,,2,8,5.44,3,3,2.04,237-271
3/19/2022,,,,,,,1,4,2.72,,,,267
3/25/2022,,,,,,,,,,1,4,2.72,263
3/26/2022,,,,,,,1,4,2.72,1,4,2.72,292-323
3/28/2022,,,,,,,,,,1,4,2.72,261
3/29/2022,,,,,,,,,,5,20,13.6,231-271
3/30/2022,,,,5,17,73.61,3,12,8.16,2,8,5.44,213-301
3/31/2022,,,,,,,1,4,2.72,2,8,5.44,246-276
4/1/2022,1,1,4.33,3,4,17.32,,,,3,12,8.16,261-318
4/2/2022,,,,2,2,8.66,,,,,,,265-284
4/3/2022,,,,,,,,,,1,4,2.72,252
4/4/2022,2,8,34.64,1,1,4.33,,,,1,4,2.72,238-337
4/6/2022,,,,2,6,25.98,,,,,,,267-310
4/7/2022,1,4,17.32,1,2,8.66,,,,3,3,2.04,257-595
4/8/2022,,,,,,,1,4,2.72,,,,340
4/9/2022,,,,1,1,4.33,,,,,,,295
4/10/2022,,,,1,4,17.32,,,,,,,273
4/15/2022,1,2,8.66,,,,,,,,,,265
4/16/2022,2,5,21.65,2,8,34.64,,,,,,,234-440
4/17/2022,,,,1,1,4.33,,,,,,,278
4/18/2022,,,,1,1,4.33,,,,5,20,13.6,247-298
4/19/2022,,,,,,,,,,1,4,2.72,275
4/20/2022,,,,3,6,25.98,,,,,,,256-265
4/21/2022,,,,,,,,,,1,4,2.72,279
4/22/2022,,,,3,8,34.64,,,,2,8,5.44,258-392
4/23/2022,,,,2,2,8.66,,,,,,,264-269
4/25/2022,1,4,17.32,,,,,,,,,,281
4/26/2022,1,1,4.33,,,,,,,,,,314
4/28/2022,1,2,8.66,1,1,4.33,,,,,,,285-397
4/29/2022,,,,,,,,,,1,4,2.72,282
4/30/2022,,,,1,1,4.33,,,,,,,329
5/1/2022,,,,,,,,,,1,4,2.72,257
5/2/2022,,,,2,5,21.65,,,,1,4,2.72,254-293
5/3/2022,,,,1,1,4.33,,,,,,,284
5/6/2022,1,2,8.66,,,,,,,1,4,2.72,212-252
5/7/2022,,,,,,,1,4,2.72,,,,224
5/9/2022,,,,,,,2,8,5.44,,,,218-233
5/11/2022,1,1,4.33,,,,,,,,,,298
5/12/2022,,,,3,8,34.64,,,,,,,267-295
5/15/2022,,,,1,1,4.33,1,4,2.72,,,,221-279
5/17/2022,,,,,,,,,,1,4,2.72,308
5/19/2022,,,,,,,2,8,5.44,,,,212-225
5/22/2022,,,,1,1,4.33,1,4,2.72,,,,240-316
5/25/2022,,,,,,,1,4,2.72,,,,256
6/7/2022,,,,,,,,,,1,1,0.68,287
